      Date : 30.Aug.2019                                Time : 9:50:25 AM

                            Input Data : PV
                            Controller : P&D Control
                            Set Point  : 15.00
                                    kp : 03.00
                                    kd : 0.01

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     
          89.73          12.45           2.49          80.28           10.2
          89.87          12.45           2.49          80.28           10.2
          90.01          12.45           2.49          80.28           10.2
          90.15          12.45           2.49          80.28           10.2
          90.28          12.45           2.49          80.28           10.2
          90.40          12.45           2.49          80.28           10.2
          90.53          12.45           2.49          80.28           10.2
          90.65          12.45           2.49          80.28           10.2
          90.78          12.45           2.49          80.28           10.2
          90.90          12.45           2.49          80.28           10.2
          91.03          12.45           2.49          80.28           10.2
          91.15          12.45           2.49          80.28           10.2
          91.27          12.45           2.49          80.28           10.2
          91.40          12.45           2.49          80.28           10.2
          91.52          12.45           2.49          80.28           10.2
          91.65          12.45           2.49          80.28           10.2
          91.77          12.45           2.49          80.28           10.2
          91.90          12.45           2.49          80.28           10.2
          92.02          12.45           2.49          80.28           10.2
          92.15          12.45           2.49          80.28           10.2
          92.27          12.45           2.49          80.28           10.2
          92.40          12.45           2.49          80.28           10.2
          92.52          12.45           2.49          80.28           10.2
          92.65          12.45           2.49          80.28           10.2
          92.77          12.45           2.49          80.28           10.2
          92.90          12.45           2.49          80.28           10.2
          93.02          12.45           2.49          80.28           10.2
          93.14          12.45           2.49          80.28           10.2
          93.27          12.45           2.49          80.28           10.2
          93.41          12.45           2.49          80.28           10.2
          93.54          12.45           2.49          80.28           10.2
          93.66          12.45           2.49          80.28           10.2
          93.79          12.45           2.49          80.28           10.2
          93.91          12.45           2.49          80.28           10.2
          94.04          12.45           2.49          80.28           10.2
          94.16          12.45           2.49          80.28           10.2
          94.29          12.45           2.49          80.28           10.2
          94.41          12.45           2.49          80.28           10.2
          94.54          12.45           2.49          80.28           10.2
          94.66          12.45           2.49          80.28           10.2
          94.79          12.45           2.49          80.28           10.2
          94.91          12.45           2.49          80.28           10.2
          95.04          12.45           2.49          80.28           10.2
          95.16          12.45           2.49          80.28           10.2
          95.29          12.55           2.51          79.12            9.8
          95.41          12.45           2.49          80.28           10.2
          95.54          12.45           2.49          80.28           10.2
          95.66          12.55           2.51          79.12            9.8
          95.80          12.55           2.51          79.12            9.8
          95.92          12.45           2.49          80.28           10.2
          96.06          12.45           2.49          80.28           10.2
          96.19          12.45           2.49          80.28           10.2
          96.31          12.45           2.49          80.28           10.2
          96.44          12.45           2.49          80.28           10.2
          96.56          12.55           2.51          79.12            9.8
          96.69          12.55           2.51          79.12            9.8
          96.81          12.55           2.51          79.12            9.8
          96.94          12.55           2.51          79.12            9.8
          97.06          12.55           2.51          79.12            9.8
          97.19          12.45           2.49          80.28           10.2
          97.31          12.55           2.51          79.12            9.8
          97.45          12.55           2.51          79.12            9.8
          97.58          12.55           2.51          79.12            9.8
          97.70          12.55           2.51          79.12            9.8
          97.83          12.55           2.51          79.12            9.8
          97.95          12.55           2.51          79.12            9.8
          98.08          12.55           2.51          79.12            9.8
          98.21          12.55           2.51          79.12            9.8
